code,name,fund_type,规模(亿),window,strategy,annualized_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_return_pct,vs_lump_sum_pct,score
159546,集成电路ETF国泰,指数型-股票,2.72,0.5y,价值平均法,96.92,15.6,2.432,80.0,40.33,-12.54,47.99
008281,国泰CES半导体芯片行业ETF联接A,指数型-股票,14.01,0.5y,价值平均法,95.26,14.45,2.61,80.0,39.74,-12.04,47.98
018994,中欧数字经济混合发起C,混合型-偏股,38.86,0.5y,价值平均法,96.52,9.43,2.714,66.7,40.18,-13.23,47.96
630010,华商价值精选混合,混合型-偏股,3.4,0.5y,价值平均法,93.43,12.58,2.59,80.0,39.08,-7.28,47.93
002980,华夏创新前沿股票A,股票型,22.8,0.5y,价值平均法,87.37,5.8,3.079,80.0,36.88,-13.78,47.91
001361,景顺长城中证科技传媒通信150ETF联接A,指数型-股票,3.58,0.5y,价值平均法,92.42,10.34,2.905,80.0,38.72,-15.02,47.9
008887,华夏国证半导体芯片ETF联接A,指数型-股票,34.56,0.5y,价值平均法,95.38,15.47,2.512,80.0,39.78,-10.09,47.89
008282,国泰CES半导体芯片行业ETF联接C,指数型-股票,19.86,0.5y,价值平均法,94.94,14.47,2.601,80.0,39.62,-11.93,47.85
100055,富国全球科技互联网股票(QDII)A,QDII-普通股票,12.46,0.5y,价值平均法,91.05,5.86,3.07,60.0,38.22,-8.16,47.83
008888,华夏国证半导体芯片ETF联接C,指数型-股票,89.19,0.5y,价值平均法,95.06,15.49,2.503,80.0,39.66,-9.98,47.76
018411,易方达芯片ETF联接A,指数型-股票,2.79,0.5y,价值平均法,99.91,14.16,2.642,60.0,41.39,-12.21,47.76
012969,鹏华国证半导体芯片ETF联接A,指数型-股票,2.13,0.5y,价值平均法,94.54,15.39,2.536,80.0,39.48,-10.56,47.6
021934,富国中证通信设备主题ETF发起式联接C,指数型-股票,2.15,0.5y,价值平均法,88.83,8.43,3.047,100.0,37.42,-32.74,47.54
015967,永赢半导体产业智选混合发起A,混合型-偏股,12.48,0.5y,价值平均法,93.05,13.58,2.691,80.0,38.94,-11.47,47.52
012629,广发国证半导体芯片ETF联接A,指数型-股票,6.41,0.5y,价值平均法,94.36,15.42,2.497,80.0,39.41,-9.82,47.51
012970,鹏华国证半导体芯片ETF联接C,指数型-股票,9.4,0.5y,价值平均法,94.31,15.4,2.53,80.0,39.4,-10.5,47.51
007113,永赢高端制造混合A,混合型-偏股,3.1,0.5y,价值平均法,96.44,11.43,2.447,80.0,40.16,-21.28,47.43
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),QDII-混合偏股,18.79,0.5y,价值平均法,83.74,9.22,3.172,100.0,35.55,-16.58,47.4
012630,广发国证半导体芯片ETF联接C,指数型-股票,9.95,0.5y,价值平均法,94.04,15.44,2.487,80.0,39.3,-9.71,47.38
001410,信澳新能源产业股票A,股票型,53.16,0.5y,价值平均法,91.33,12.44,2.909,80.0,38.32,-13.58,47.35
022184,富国全球科技互联网股票(QDII)C,QDII-普通股票,8.34,0.5y,价值平均法,89.91,5.88,3.054,60.0,37.81,-8.07,47.35
519674,银河创新成长混合A,混合型-偏股,97.35,0.5y,价值平均法,95.85,16.42,2.088,80.0,39.95,-5.85,47.35
007114,永赢高端制造混合C,混合型-偏股,8.11,0.5y,价值平均法,96.21,11.45,2.442,80.0,40.08,-21.21,47.34
015968,永赢半导体产业智选混合发起C,混合型-偏股,37.51,0.5y,价值平均法,92.6,13.61,2.678,80.0,38.78,-11.33,47.33
001224,中邮新思路灵活配置混合A,混合型-灵活,10.04,0.5y,价值平均法,89.42,9.72,2.61,80.0,37.63,-3.61,47.3
008185,诺安研究优选混合A,混合型-偏股,5.57,0.5y,价值平均法,94.93,15.88,2.455,80.0,39.62,-13.33,47.23
002229,华夏经济转型股票,股票型,6.13,0.5y,价值平均法,82.5,9.0,3.115,100.0,35.09,-12.97,47.2
